Timebands,Digi 24,Antena 3 CNN,B1TV,EuroNews,Realitatea Plus,Romania TV
02:00 - 02:15,0.08,0.08,0.0,0.0,0.09,0.27
02:15 - 02:30,0.08,0.15,0.0,0.0,0.02,0.26
02:30 - 02:45,0.08,0.17,0.0,0.0,0.0,0.26
02:45 - 03:00,0.08,0.12,0.06,0.0,0.0,0.26
03:00 - 03:15,0.11,0.11,0.01,0.0,0.0,0.26
03:15 - 03:30,0.12,0.09,0.0,0.0,0.0,0.26
03:30 - 03:45,0.12,0.09,0.0,0.0,0.0,0.26
03:45 - 04:00,0.12,0.09,0.0,0.0,0.0,0.26
04:00 - 04:15,0.12,0.09,0.0,0.0,0.0,0.26
04:15 - 04:30,0.12,0.09,0.0,0.0,0.0,0.26
04:30 - 04:45,0.12,0.09,0.0,0.0,0.0,0.26
04:45 - 05:00,0.08,0.0,0.0,0.0,0.0,0.26
05:00 - 05:15,0.0,0.0,0.0,0.0,0.0,0.37
05:15 - 05:30,0.08,0.0,0.0,0.0,0.0,0.47
05:30 - 05:45,0.08,0.12,0.0,0.0,0.0,0.35
05:45 - 06:00,0.08,0.21,0.0,0.0,0.0,0.17
Medie 2-6,0.09,0.09,0.0,0.0,0.01,0.28
06:00 - 06:15,0.12,0.01,0.0,0.0,0.0,0.29
06:15 - 06:30,0.18,0.09,0.0,0.0,0.0,0.29
06:30 - 06:45,0.24,0.09,0.0,0.0,0.0,0.21
06:45 - 07:00,0.24,0.09,0.0,0.0,0.0,0.21
07:00 - 07:15,0.11,0.16,0.0,0.0,0.0,0.29
07:15 - 07:30,0.11,0.13,0.0,0.0,0.0,0.37
07:30 - 07:45,0.14,0.19,0.01,0.0,0.03,0.34
07:45 - 08:00,0.11,0.1,0.02,0.0,0.05,0.38
08:00 - 08:15,0.2,0.26,0.0,0.0,0.0,0.75
08:15 - 08:30,0.21,0.22,0.01,0.0,0.02,0.74
08:30 - 08:45,0.19,0.16,0.01,0.0,0.02,0.44
08:45 - 09:00,0.18,0.35,0.06,0.0,0.0,0.3
Medie 6-9,0.17,0.15,0.01,0.0,0.01,0.38
09:00 - 09:15,0.18,0.2,0.0,0.0,0.13,0.35
09:15 - 09:30,0.18,0.05,0.0,0.0,0.12,0.56
09:30 - 09:45,0.31,0.25,0.01,0.0,0.02,0.59
09:45 - 10:00,0.29,0.19,0.0,0.02,0.0,0.51
10:00 - 10:15,0.12,0.06,0.1,0.0,0.07,0.84
10:15 - 10:30,0.32,0.04,0.22,0.0,0.06,0.84
10:30 - 10:45,0.24,0.17,0.24,0.0,0.0,0.91
10:45 - 11:00,0.28,0.24,0.26,0.03,0.03,0.76
11:00 - 11:15,0.31,0.35,0.28,0.0,0.09,0.97
11:15 - 11:30,0.26,0.54,0.0,0.01,0.1,1.13
11:30 - 11:45,0.34,0.39,0.0,0.0,0.08,1.1
11:45 - 12:00,0.29,0.37,0.0,0.05,0.02,1.01
Medie 9-12,0.26,0.24,0.09,0.01,0.06,0.8
12:00 - 12:15,0.4,0.32,0.0,0.07,0.01,0.98
12:15 - 12:30,0.6,0.22,0.01,0.11,0.15,1.03
12:30 - 12:45,0.41,0.17,0.02,0.11,0.02,0.96
12:45 - 13:00,0.49,0.13,0.0,0.08,0.0,0.55
13:00 - 13:15,0.52,0.39,0.0,0.06,0.0,0.23
13:15 - 13:30,0.31,0.54,0.05,0.05,0.0,0.22
13:30 - 13:45,0.41,0.74,0.15,0.05,0.18,0.48
13:45 - 14:00,0.53,1.01,0.01,0.0,0.05,0.4
14:00 - 14:15,0.44,0.89,0.08,0.0,0.15,0.49
14:15 - 14:30,0.28,0.99,0.24,0.0,0.13,0.48
14:30 - 14:45,0.26,1.16,0.21,0.0,0.12,0.34
14:45 - 15:00,0.22,0.93,0.12,0.0,0.12,0.17
Medie 12-15,0.41,0.62,0.07,0.04,0.08,0.53
15:00 - 15:15,0.43,0.99,0.11,0.0,0.27,0.27
15:15 - 15:30,0.36,1.26,0.1,0.0,0.27,0.43
15:30 - 15:45,0.23,1.33,0.13,0.0,0.31,0.44
15:45 - 16:00,0.56,1.2,0.15,0.0,0.08,0.37
Medie 15-16,0.39,1.2,0.12,0.0,0.23,0.38
16:00 - 16:15,0.65,1.13,0.1,0.0,0.29,0.69
16:15 - 16:30,0.54,1.19,0.11,0.0,0.23,1.06
16:30 - 16:45,0.54,1.45,0.16,0.0,0.16,1.03
16:45 - 17:00,0.75,1.21,0.2,0.04,0.11,0.95
17:00 - 17:15,0.54,1.06,0.01,0.0,0.21,0.85
17:15 - 17:30,0.41,1.02,0.03,0.0,0.22,0.83
17:30 - 17:45,0.43,1.07,0.3,0.06,0.2,0.83
17:45 - 18:00,0.61,1.05,0.46,0.09,0.31,0.61
18:00 - 18:15,0.66,1.04,0.52,0.01,0.28,0.9
18:15 - 18:30,0.81,1.16,0.49,0.07,0.36,0.92
18:30 - 18:45,0.81,1.49,0.39,0.01,0.3,0.76
18:45 - 19:00,0.73,1.19,0.41,0.0,0.39,0.44
Medie 16-19,0.62,1.17,0.27,0.02,0.25,0.82
19:00 - 19:15,0.45,1.5,0.18,0.0,0.19,0.57
19:15 - 19:30,0.41,1.6,0.19,0.0,0.3,0.58
19:30 - 19:45,0.41,1.04,0.27,0.03,0.36,0.66
19:45 - 20:00,0.58,0.75,0.29,0.01,0.32,0.71
Medie 19-20,0.46,1.22,0.23,0.01,0.3,0.63
20:00 - 20:15,0.81,0.71,0.23,0.0,0.13,0.89
20:15 - 20:30,1.16,0.84,0.29,0.04,0.28,0.94
20:30 - 20:45,1.03,0.97,0.15,0.0,0.28,0.72
20:45 - 21:00,0.91,1.14,0.03,0.0,0.51,0.54
21:00 - 21:15,0.93,1.06,0.0,0.0,0.54,0.38
21:15 - 21:30,0.88,0.97,0.01,0.0,0.39,0.82
21:30 - 21:45,1.08,1.12,0.01,0.02,0.29,0.73
21:45 - 22:00,0.88,1.13,0.06,0.01,0.15,0.52
22:00 - 22:15,0.84,0.9,0.09,0.0,0.15,0.51
22:15 - 22:30,0.6,1.04,0.0,0.0,0.25,0.49
22:30 - 22:45,0.52,1.14,0.0,0.01,0.22,0.7
22:45 - 23:00,0.36,0.73,0.05,0.09,0.48,0.39
Medie 20-23,0.83,0.98,0.08,0.01,0.3,0.64
23:00 - 23:15,0.25,0.81,0.02,0.08,0.32,0.81
23:15 - 23:30,0.15,0.87,0.03,0.14,0.09,0.87
23:30 - 23:45,0.07,0.62,0.0,0.08,0.11,0.82
23:45 - 24:00,0.12,0.38,0.0,0.0,0.11,0.6
24:00 - 24:15,0.09,0.37,0.06,0.0,0.13,0.69
24:15 - 24:30,0.09,0.23,0.08,0.0,0.11,0.79
24:30 - 24:45,0.09,0.06,0.08,0.0,0.11,0.66
24:45 - 25:00,0.09,0.0,0.09,0.0,0.12,0.59
Medie 23-25,0.12,0.42,0.04,0.04,0.14,0.73
25:00 - 25:15,0.09,0.02,0.05,0.0,0.2,0.5
25:15 - 25:30,0.13,0.0,0.0,0.0,0.22,0.33
25:30 - 25:45,0.22,0.0,0.02,0.01,0.16,0.29
25:45 - 26:00,0.15,0.0,0.0,0.02,0.14,0.29
Medie 25-26,0.15,0.0,0.02,0.01,0.18,0.35
Whole day,0.35,0.55,0.08,0.02,0.13,0.56
