1,Timebands,Digi 24,Antena 3 CNN,B1TV,Realitatea Plus,Romania TV
2,02:00 - 02:15,0.11,0.13,0,0,0.52
3,02:15 - 02:30,0.15,0.17,0,0,0.33
4,02:30 - 02:45,0.18,0,0,0,0.19
5,02:45 - 03:00,0.07,0,0,0,0.19
6,03:00 - 03:15,0.08,0,0,0,0.28
7,03:15 - 03:30,0.08,0,0.07,0,0.3
8,03:30 - 03:45,0.08,0,0,0,0.3
9,03:45 - 04:00,0.08,0,0,0,0.3
10,04:00 - 04:15,0.08,0,0,0,0.3
11,04:15 - 04:30,0.02,0,0,0,0.25
12,04:30 - 04:45,0,0,0,0,0.11
13,04:45 - 05:00,0,0,0,0,0.11
14,05:00 - 05:15,0,0,0,0,0.11
15,05:15 - 05:30,0,0,0,0,0.11
16,05:30 - 05:45,0,0.12,0,0,0.15
17,05:45 - 06:00,0.1,0.31,0,0.05,0.11
18,>>> 2:00 - 6:00,0.07,0.05,0,0,0.23
19,06:00 - 06:15,0.27,0.25,0,0.07,0.11
20,06:15 - 06:30,0.45,0.06,0.01,0.07,0.12
21,06:30 - 06:45,0.53,0.02,0.08,0.07,0.19
22,06:45 - 07:00,0.39,0.19,0.08,0.03,0.12
23,07:00 - 07:15,0.36,0.25,0.08,0,0.31
24,07:15 - 07:30,0.35,0.28,0.09,0,0.34
25,07:30 - 07:45,0.36,0.22,0.08,0.01,0.42
26,07:45 - 08:00,0.22,0.13,0.08,0,0.42
27,08:00 - 08:15,0.25,0.5,0.09,0,0.82
28,08:15 - 08:30,0.28,0.39,0.03,0,0.8
29,08:30 - 08:45,0.37,0.47,0.03,0,0.64
30,08:45 - 09:00,0.56,0.23,0.04,0,0.69
31,>>> 6:00 - 9:00,0.36,0.25,0.06,0.02,0.41
32,09:00 - 09:15,0.48,0.09,0,0.13,0.85
33,09:15 - 09:30,0.48,0.01,0.05,0.23,0.97
34,09:30 - 09:45,0.27,0.05,0.19,0.25,1.05
35,09:45 - 10:00,0.25,0.21,0.16,0.09,0.94
36,10:00 - 10:15,0.34,0.48,0,0.16,1.15
37,10:15 - 10:30,0.33,0.5,0.08,0.17,1.41
38,10:30 - 10:45,0.42,0.47,0.05,0.1,1.04
39,10:45 - 11:00,0.44,0.59,0.04,0.09,0.65
40,11:00 - 11:15,0.51,0.73,0,0.27,0.64
41,11:15 - 11:30,0.59,1.03,0.02,0.25,0.5
42,11:30 - 11:45,0.51,0.91,0,0.23,0.46
43,11:45 - 12:00,0.47,0.8,0,0.21,0.71
44,>>> 9:00 - 12:00,0.42,0.49,0.05,0.18,0.86
45,12:00 - 12:15,0.48,0.89,0.01,0.11,0.96
46,12:15 - 12:30,0.64,0.92,0,0.38,0.74
47,12:30 - 12:45,0.64,0.89,0,0.25,0.33
48,12:45 - 13:00,0.49,1.05,0,0.2,0.46
49,13:00 - 13:15,0.51,0.88,0.02,0.2,0.37
50,13:15 - 13:30,0.47,0.69,0,0.2,0.53
51,13:30 - 13:45,0.42,0.89,0,0.2,0.42
52,13:45 - 14:00,0.37,0.67,0,0.2,0.37
53,14:00 - 14:15,0.48,0.67,0.03,0.3,0.6
54,14:15 - 14:30,0.65,0.61,0.02,0.45,0.38
55,14:30 - 14:45,0.67,0.45,0.1,0.5,0.23
56,14:45 - 15:00,0.6,0.46,0.21,0.44,0.18
57,>>> 12:00 - 15:00,0.54,0.76,0.03,0.29,0.46
58,15:00 - 15:15,0.54,0.66,0.17,0.31,0.2
59,15:15 - 15:30,0.56,0.68,0.07,0.39,0.24
60,15:30 - 15:45,0.65,0.89,0.05,0.34,0.33
61,15:45 - 16:00,0.64,0.92,0,0.2,0.17
62,>>> 15:00 - 16:00,0.6,0.79,0.07,0.31,0.23
63,16:00 - 16:15,0.78,0.86,0,0.2,0.2
64,16:15 - 16:30,0.68,0.85,0.01,0.31,0.28
65,16:30 - 16:45,0.61,0.77,0.01,0.36,0.38
66,16:45 - 17:00,0.8,0.78,0,0.3,0.38
67,17:00 - 17:15,0.75,0.79,0,0.29,0.31
68,17:15 - 17:30,0.91,0.82,0.01,0.31,0.43
69,17:30 - 17:45,0.78,0.79,0,0.46,0.5
70,17:45 - 18:00,0.74,0.81,0.1,0.39,0.44
71,18:00 - 18:15,0.94,0.79,0.06,0.38,0.71
72,18:15 - 18:30,1.05,0.78,0.12,0.44,0.65
73,18:30 - 18:45,1.25,0.65,0.13,0.27,0.9
74,18:45 - 19:00,1.19,0.63,0.1,0.3,0.58
75,>>> 16:00 - 19:00,0.87,0.78,0.04,0.33,0.48
76,19:00 - 19:15,0.45,0.72,0.07,0.31,0.4
77,19:15 - 19:30,0.33,0.74,0.03,0.42,0.42
78,19:30 - 19:45,0.35,0.7,0.11,0.3,0.6
79,19:45 - 20:00,0.52,0.59,0.21,0.22,0.6
80,>>> 19:00 - 20:00,0.41,0.69,0.11,0.31,0.5
81,20:00 - 20:15,0.55,0.67,0.2,0.33,0.7
82,20:15 - 20:30,0.62,0.66,0.09,0.55,0.67
83,20:30 - 20:45,0.37,0.98,0.16,0.37,0.8
84,20:45 - 21:00,0.4,1.22,0.14,0.38,0.57
85,21:00 - 21:15,0.61,1.34,0.1,0.3,0.79
86,21:15 - 21:30,0.6,1.52,0.14,0.32,0.99
87,21:30 - 21:45,0.69,1.58,0.23,0.24,0.96
88,21:45 - 22:00,0.59,1.51,0.16,0.63,0.45
89,22:00 - 22:15,0.55,1.5,0.11,0.23,0.55
90,22:15 - 22:30,0.76,1.3,0.1,0.37,0.58
91,22:30 - 22:45,0.77,1.35,0.1,0.36,0.65
92,22:45 - 23:00,0.38,1,0.09,0.64,0.6
93,>>> 20:00 - 23:00,0.58,1.22,0.13,0.39,0.69
94,23:00 - 23:15,0.43,0.94,0.11,0.43,0.84
95,23:15 - 23:30,0.49,0.81,0.11,0.62,0.49
96,23:30 - 23:45,0.21,0.83,0.1,0.59,0.51
97,23:45 - 24:00,0.1,0.87,0.1,0.71,0.56
98,24:00 - 24:15,0.08,1.11,0,0.63,0.61
99,24:15 - 24:30,0.13,1.09,0,0.41,0.59
100,24:30 - 24:45,0.33,0.74,0.03,0.39,0.58
101,24:45 - 25:00,0.22,0.2,0.15,0.35,0.49
102,>>> 23:00 - 25:00,0.25,0.82,0.07,0.52,0.58
103,25:00 - 25:15,0.22,0.13,0.15,0.36,0.31
104,25:15 - 25:30,0.17,0.22,0.09,0.35,0.21
105,25:30 - 25:45,0.22,0.14,0.09,0.27,0.21
106,25:45 - 26:00,0.23,0.13,0.05,0.11,0.21
107,>>> 25:00 - 26:00,0.21,0.15,0.09,0.27,0.23
108,Whole day,0.43,0.58,0.06,0.23,0.49
